"name","Number of reviewers","Overall score","Cleanliness","Comfort","Facilities","Staff","Value for money","Free WiFi_10","Location","good Fitness Center","Daily Housekeeping","Heating","Free Parking","Airport Shuttle (free)","Private Parking","Spa","On-site Parking","Fitness Center","Room Service","Family Rooms","Parking","Airport Shuttle","Air Conditioning","Free WiFi_26","Laundry","Water Park","Pet Friendly","Outdoor Pool","Indoor Pool","Elevator","Garden","Facilities for Disabled Guests","Bar","Beach nearby","wonderful Fitness Center","Beachfront","Non-smoking Rooms","Terrace","Swimming Pool","very good Fitness Center","Restaurant","Private Beach Area","exceptional Fitness Center","24-Hour Front Desk","WiFi","BBQ Facilities","Dist","zip_id"
"Venice Suites","790","8.3","8.4","8.2","8.2","8.4","7.5","8.5","9","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","(13.7 miles from center)",1
"Sheraton Gateway Los Angeles","5,663","8.1","8.5","8.4","8","7.8","7.4","7.2","8.2","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","(11.2 miles from center)",8
"The Jeremy Hotel West Hollywood","563","8.9","9.3","9","8.7","8.9","8.2","9.5","9.1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","(8.1 miles from center)",12
"Hampton Inn & Suites Santa Monica","867","8.3","8.8","8.6","8.2","8.2","7.2","8.4","8.9","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","(14.3 miles from center)",39
"Beverly Wilshire, A Four Seasons Hotel","427","8.9","9.1","9","8.7","9.2","7.6","8.4","9.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","(8.7 miles from center)",5
"The London West Hollywood at Beverly Hills","865","8.8","9.2","9.1","8.9","8.9","7.9","8.9","8.9","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","(8.1 miles from center)",12
"Mr C Beverly Hills","464","8.4","8.8","8.7","8.3","8.7","7.4","7.8","8.6","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","(8.7 miles from center)",26
"LEVEL Furnished Living Suites Downtown Los Angeles","390","9.0","9.3","9.3","9.3","9.1","8.1","9.5","9","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","(1 miles from center)",25
"Radisson Hotel Los Angeles Midtown at USC","1,301","8.2","8.6","8.4","8.1","8.4","7.4","8.4","8.3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","(3.1 miles from center)",34
"DoubleTree Suites by Hilton Santa Monica","1,255","8.0","8.4","8.2","7.8","8.5","6.7","5.5","8.4","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0","(14.3 miles from center)",52
