"name","Zip code"
"Hilton Los Angeles-Universal City",91608
"Sheraton Universal",91608
"Comfort Inn & Suites Near Universal - North Hollywood – Burbank",91606
"Best Western Burbank Airport Inn",91605
"El Royale Hotel - Near Universal Studios Hollywood",91604
"East West Comfort: Studio City Universal Apartments",91604
"Studio City Warm Apartment",91604
"Studio City Courtyard Hotel",91604
"Sportsmen's Lodge Hotel",91604
"BLVD Hotel & Spa",91604
"Desert Heaven - Guest House",91604
"The Garland",91602
"Arroyo Vista Inn",91030
"Ocean Suites - Shell",90405
"Casa Del Mar",90405
"Le Meridien Delfina Santa Monica",90405
"Shutters On The Beach",90405
"Ocean Suites - Sail",90405
"Ocean Suites - Ocean",90405
"Bayside Hotel",90405
"Ocean Park Hotel",90405
"Ocean Suites - Pier",90405
"Ocean Suites - Sand",90405
"Travelodge by Wyndham Santa Monica",90405
"Ocean Suites - Coral",90405
"Ocean Suites - Sunset",90405
"Ambrose Hotel",90404
"Gateway Hotel Santa Monica",90404
"Comfort Inn Santa Monica - West Los Angeles",90404
"Santa Monica Duplex, 3 Bed 2 Bath",90404
"Cal Mar Hotel Suites",90403
"Huntley Santa Monica Beach",90403
"Double Suite in Santa Monica",90403
"Palihouse Santa Monica",90403
"Oceana Beach Club Hotel",90403
"Channel Road Inn, A Four Sisters Inn",90402
"The Georgian Hotel",90401
"HI Los Angeles - Santa Monica Hostel",90401
"Hotel Carmel By The Sea",90401
"Fairmont Miramar Hotel & Bungalows",90401
"Courtyard by Marriott Santa Monica",90401
"Hampton Inn & Suites Santa Monica",90401
"Beautiful Sunset in Santa Monica Beach *4",90401
"Loews Santa Monica Beach Hotel",90401
"BRILLIANT HOME IN SANTA MONICA BEACH *23",90401
"Shore Hotel",90401
"Sea Blue Hotel",90401
"Spotless Apartment in Santa Monica Beach 3",90401
"Hotel Shangri-La",90401
"Wyndham Santa Monica At The Pier",90401
"Fabulous Apt Walk to Santa Monica Beach 17",90401
"Ocean View Hotel",90401
"FANTASTIC HOUSE IN SANTA MONICA BEACH 10",90401
"Viceroy Santa Monica",90401
"Wingate by Wyndham Los Angeles Airport",90304
"Best Western Airport Plaza Inn",90302
"Inn at Playa del Rey",90293
"Marina Del Rey/Venice 2 Bed, 2 Bath. Pool, Gym",90292
"Ocean Style Studio Venice Beach",90292
"Marina del Rey Suites",90292
"Global Luxury Suites at Marina Del Rey",90292
"The Kinney - Venice Beach",90292
"Artist Home at Venice Beach - One Bedroom Oasis",90292
"Chic 2 Bedroom/2 Bathroom Suite at the Beach",90292
"Jamaica Bay Inn",90292
"Hotel MDR Marina del Rey- a DoubleTree by Hilton",90292
"Marina Studio by the Venice Beach",90292
"Marina del Rey Hotel",90292
"Venice Style Studio Venice Beach",90292
"Groovy 2-Bedroom Condo with Terrace",90292
"Jolly Roger Hotel",90292
"Step to the beach",90292
"The Ritz-Carlton, Marina del Rey",90292
"Ramada by Wyndham Marina del Rey",90292
"Private Bedroom and Bathroom in Shared 2 Bedroom Apartment",90292
"Luxury Apartment with pool, by the Pacific Ocean",90292
"Unique house next tothe beach-Venice Beach-MDR",90292
"Hilton Garden Inn Los Angeles Marina Del Rey",90292
