name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Sheraton Gateway Los Angeles,90045,"5,663",8.1,8.5,8.4,8,7.8,7.4,7.2,8.2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
The Jeremy Hotel West Hollywood,90069,563,8.9,9.3,9,8.7,8.9,8.2,9.5,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Hollywood Proper Residences,90028,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
Hampton Inn & Suites Santa Monica,90401,867,8.3,8.8,8.6,8.2,8.2,7.2,8.4,8.9,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,(14.3 miles from center)
Spacious Apartment in Westwood UCLA *27,90024,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Hollywood Blvd Premier Apartment,90028,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(5.6 miles from center)
"Beverly Wilshire, A Four Seasons Hotel",90212,427,8.9,9.1,9,8.7,9.2,7.6,8.4,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
The London West Hollywood at Beverly Hills,90069,865,8.8,9.2,9.1,8.9,8.9,7.9,8.9,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Mr C Beverly Hills,90035,464,8.4,8.8,8.7,8.3,8.7,7.4,7.8,8.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
LEVEL Furnished Living Suites Downtown Los Angeles,90015,390,9.0,9.3,9.3,9.3,9.1,8.1,9.5,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1 miles from center)
